locationID,regionID
621551,621550
621552,621550
621553,621550
621554,621550
621555,621550
621556,621550
621557,621550
621558,621550
621559,621550
621560,621550
621561,621550
621562,621550
621563,621550
621564,621550
621565,621550
621567,621550
621568,621550
621569,621550
621570,621550
621571,621550
621572,621550
621573,621550
621574,621550
621575,621550
621576,621550
621577,621550
621578,621550
621579,621550
621580,621550
621581,621550
621582,621550
621583,621550
621584,621550
621585,621550
621586,621550
621600,621590
621610,621590
621620,621590
621630,621590
621640,621590
621650,621590
621660,621590
621670,621590
621680,621590
621690,621590
621700,621590
621710,621590
621720,621590
621740,621590
621750,621590
621760,621590
621770,621590
621780,621590
621790,621590
621800,621590
621820,621590
621830,621590
621840,621590
621850,621590
621860,621590
621870,621590
621880,621590
621890,621590
621900,621590
621910,621590
621920,621590
621930,621590
621940,621590
621950,621590
621960,621590
621970,621590
621980,621590
621990,621590
622010,621590
622020,621590
622030,621590
622040,621590
622060,621590
622070,621590
622080,621590
622090,621590
622100,621590
622120,621590
622140,621590
622150,621590
622160,621590
622170,621590
622180,621590
622190,621590
622210,621590
622220,621590
622230,621590
622240,621590
622250,621590
622270,621590
622280,621590
622290,621590
622300,621590
622310,621590
622320,621590
622330,621590
622340,621590
622350,621590
622360,621590
622370,621590
622380,621590
622390,621590
622400,621590
622410,621590
622420,621590
622430,621590
622440,621590
622450,621590
622460,621590
622480,622470
622490,622470
622500,622470
622510,622470
622520,622470
622530,622470
622540,622470
622550,622470
622560,622470
622570,622470
622580,622470
622590,622470
622600,622470
622610,622470
622620,622470
622630,622470
622640,622470
622660,622650
622670,622650
622680,622650
622690,622650
622700,622650
622710,622650
622720,622650
622730,622650
622750,622650
622760,622650
622770,622650
622780,622650
622790,622650
622800,622650
622810,622650
622820,622650
622830,622650
622840,622650
622850,622650
622870,622650
622890,622650
622910,622650
622920,622650
622930,622650
622940,622650
622950,622650
622970,622650
622990,622650
623000,622650
623010,622650
623020,622650
623030,622650
623060,622650
623070,622650
623080,622650
623090,622650
623100,622650
623120,623110
623130,623110
623140,623110
623150,623110
623160,623110
623170,623110
623180,623110
623190,623110
623200,623110
623210,623110
623220,623110
623230,623110
623240,623110
623250,623110
623260,623110
623270,623110
623280,623110
623290,623110
623300,623110
623310,623110
623320,623110
623330,623110
623340,623110
623350,623110
623360,623110
623370,623110
623380,623110
623390,623110
623400,623110
623420,623410
623430,623410
623440,623410
623450,623410
623460,623410
623470,623410
623480,623410
623490,623410
623500,623410
623510,623410
623520,623410
623530,623410
623540,623410
623550,623410
623560,623410
623570,623410
623580,623410
623590,623410
623600,623410
623610,623410
623620,623410
623630,623410
623640,623410
623650,623410
623660,623410
623670,623410
623680,623410
623690,623410
623700,623410
623710,623410
623720,623410
623730,623410
623740,623410
623750,623410
623760,623410
623770,623410
623780,623410
623790,623410
623800,623410
623810,623410
623820,623410
623830,623410
623850,623840
623860,623840
623870,623840
623880,623840
623890,623840
623900,623840
623910,623840
623920,623840
623930,623840
623940,623840
623950,623840
623960,623840
623970,623840
623980,623840
623990,623840
624000,623840
624010,623840
624020,623840
624030,623840
624040,623840
624050,623840
624060,623840
624070,623840
624080,623840
624090,623840
624100,623840
624110,623840
624120,623840
624130,623840
624140,623840
624160,623840
624170,623840
624180,623840
624190,623840
624200,623840
624210,623840
624220,623840
624230,623840
624240,623840
624250,623840
624260,623840
624270,623840
624280,623840
624290,623840
624310,624300
624320,624300
624330,624300
624340,624300
624350,624300
624360,624300
624370,624300
624380,624300
624390,624300
624400,624300
624410,624300
624420,624300
624430,624300
624440,624300
624450,624300
624460,624300
624470,624300
624480,624300
624490,624300
624510,624300
624520,624300
624540,624300
624550,624300
624570,624300
624580,624300
624590,624300
624600,624300
624610,624300
624620,624300
624650,624300
624660,624300
624670,624300
624680,624300
624690,624300
624700,624300
624710,624300
624720,624300
624730,624300
624760,624300
624780,624770
624790,624770
624800,624770
624810,624770
624820,624770
624840,624770
624850,624770
624860,624770
624890,624770
624900,624770
624910,624770
624920,624770
624930,624770
624940,624770
624950,624770
624960,624770
624970,624770
624980,624770
624990,624770
625000,624770
625010,624770
625020,624770
625030,624770
625040,624770
625050,624770
625060,624770
625070,624770
625080,624770
625090,624770
625100,624770
625110,624770
625120,624770
625130,624770
625140,624770
625160,624770
625170,624770
625180,624770
625190,624770
625200,624770
625210,624770
625220,624770
625230,624770
625240,624770
625260,624770
625270,624770
625280,624770
